fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,SALARIES AND WAGES - ON PAYROLL,9389344,9389344,9235579
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0039,STUDENT AS TRAINEES,298400,298400,149200
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0126,OFFICE CONVENIENCES,1600,1600,1600
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0130,POSTAGE,5500,5500,5500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0140,PROFESSIONAL AND TECHNICAL SERVICES,277000,277000,267000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0149,SOFTWARE MAINTENANCE AND LICENSING,2500,2500,2500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0150,OUTSIDE GRAPHIC SERVICES,1600,1600,1600
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0157,RENTAL EQUIPMENT AND SERVICES,40000,40000,40000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0159,LEASE/PURCHASE EQUIPMENT,52000,52000,52000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0162,REPAIR/MAINT EQUIPMENT,6984,6984,6984
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0166,DUES  SUBSC & MEM,237242,237242,37242
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0169,TECHNICAL MEETING COSTS,6000,6000,6000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0181,MOBILE COMMUNICATION SERVICES,42408,42408,52965
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0190,TELEPHONE - CENTREX BILLINGS,19800,19800,19800
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0197,TELEPHONE - MAINTENANCE,2800,2800,2800
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0229,TRANSPORTATION AND EXPENSE ALLOWANCE,1000,1000,1000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0245,REIMBURSEMENT TO TRAVELERS,120780,120780,0
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0270,LOCAL TRANSPORTATION,1500,1500,1500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0350,STATIONERY AND OFFICE SUPPLIES,30000,30000,30000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,SALARIES AND WAGES - ON PAYROLL,363456,363456,373152
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,SALARIES AND WAGES - ON PAYROLL,5752255,5752255,5801760
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,SCHEDULE SALARY ADJUSTMENTS,61889,61889,51268
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0020,OVERTIME,0,0,15240
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,POSTAGE,1856,1856,1859
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0138,IT MAINTENANCE,34656,34656,156036
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,PROFESSIONAL AND TECHNICAL SERVICES,80889,80889,380889
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,COURT REPORTING,42500,42500,42500
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,SOFTWARE MAINTENANCE AND LICENSING,396804,396804,610809
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0150,OUTSIDE GRAPHIC SERVICES,3500,3500,3500
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,RENTAL EQUIPMENT AND SERVICES,47810,47810,48779
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,LEASE/PURCHASE EQUIPMENT,29884,29884,129884
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,REPAIR/MAINT EQUIPMENT,65,65,1000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,DUES  SUBSC & MEM,9526,9526,13237
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,TECHNICAL MEETING COSTS,47212,47212,110253
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,MOBILE COMMUNICATION SERVICES,20794,20794,21395
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,TELEPHONE - NON-CENTREX BILLINGS,43674,43674,47122
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,REIMBURSEMENT TO TRAVELERS,1518,1518,0
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,LOCAL TRANSPORTATION,31036,31036,31039
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,GASOLINE,2506,2506,2506
