route,routename,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal
1,Indiana/Hyde Park,2001-01-01T00:00:00.000,6982.6,0,0,153617
2,Hyde Park Express,2001-01-01T00:00:00.000,1000,0,0,22001
3,King Drive,2001-01-01T00:00:00.000,21406.5,13210.7,8725.3,567413
4,Cottage Grove,2001-01-01T00:00:00.000,22432.2,17994,10662.2,618796
6,Jackson Park Express,2001-01-01T00:00:00.000,18443,13088.2,7165.6,493926
7,Harrison,2001-01-01T00:00:00.000,5504.4,0,0,121097
8,Halsted,2001-01-01T00:00:00.000,19582.2,12420,8280.8,521892
8A,South Halsted,2001-01-01T00:00:00.000,3196.5,3006.6,1336.2,89030
9,Ashland,2001-01-01T00:00:00.000,29265.4,22621.7,15336.1,811006
10,Museum of S & I,2001-01-01T00:00:00.000,0,562.6,372.9,4115
11,Lincoln/Sedgwick,2001-01-01T00:00:00.000,3448.7,1667.3,869.5,86887
12,Roosevelt,2001-01-01T00:00:00.000,10763.5,6950.6,4691,288055
14,Jeffery Express,2001-01-01T00:00:00.000,8484.3,0,0,186655
17,Westchester,2001-01-01T00:00:00.000,514.5,0,0,11319
18,16th/18th,2001-01-01T00:00:00.000,1923.8,898.5,642.3,49130
19,United Center Express,2001-01-01T00:00:00.000,322,327.1,368.4,6273
20,Madison,2001-01-01T00:00:00.000,21570.3,12804.3,8184,566683
21,Cermak,2001-01-01T00:00:00.000,7423.7,7747.2,4781,218216
X21,Cermak Express,2001-01-01T00:00:00.000,0,1177.9,855.9,8991
22,Clark,2001-01-01T00:00:00.000,21206.2,14634.5,10462.2,577386
24,Wentworth,2001-01-01T00:00:00.000,3893.4,0,0,85655
25,West Cermak,2001-01-01T00:00:00.000,144.8,0,0,3186
27,South Deering,2001-01-01T00:00:00.000,5629.5,2984.1,2423.6,147904
28,Stony Island,2001-01-01T00:00:00.000,11964.9,11269.6,5587.8,336246
29,State,2001-01-01T00:00:00.000,16328.2,12511.5,8537.9,451955
30,South Chicago,2001-01-01T00:00:00.000,3823.5,1960.2,652.2,95218
