key,site_name,description,address,city,state,zip,phone_number,url,ages_served,ages_0_3,ages_3_5,weekday_availability,program_information,other_features,accreditation,quality,quality_rating,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
198,ABC Preschool,"<p>We have seen that there is a need for strong resourceful programs that emphasizes on parent engagement, awareness and community involvement. Our experiences inculded helping our children and their families to develop a responsible attitude toward society and fostering feelings of belonging to a community. Our mission is to increase children's ability to effectively deal with their environment, day-to-day experienece and the later responssibilities of school life in a positive, safe and healthy environment. This program combined with our passion for encouraging child development as well as the positive development of the whole family, has allowed us to build a solid relationship with the families in our community as partnerships with other community organizations.</p>",3800 N Austin Ave,Chicago,IL,60634,(773) 685-9033,http://www.abcpreschoolchicago.com,2 years to 6 years,True,True,"Full Week, Part Week, Full Day, Half Day","Community Based, Head Start",Accepts CCAP,None,licensed,Licensed,41.949425000000005,-87.77665299999998,"{'latitude': '41.949425', 'longitude': '-87.776653'}",25,22254,17,443,19
200,Academy of St Benedict the African - Stewart,"<p>Our preschool program serves children from ages 3-5. We are a preschool for all school, and follow the guidelines and curriculum parameters of this State sponsored program. We are a Catholic grade  school serving Pre-K through 8th grade. We offer early morning drop off and late pick up. We are open from  6:30 - 6:30.  Our teachers are certified 04 Early Childhood teachers. Additionally, being part of a grade school, our Pre-K students benefit by having access to our full gym, computer lab, music teacher, and Spanish teacher.</p>",6547 S Stewart Ave,Chicago,IL,60621,(773) 994-6100,http://www.academystbenedictstewart.org,3 - 5,False,True,"Full Week, Full Day",Community Based,Accepts CCAP,"NAEYC, AdvanceEd candidate",licensed,Licensed,41.77473499999999,-87.634413,"{'latitude': '41.774735', 'longitude': '-87.634413'}",53,21559,66,435,4
480,A Child's World,<p>Little Genius is located in the Roseland community that provides services to children between the ages of three to five years old. We are funded by the City of Chicago Department of Family Support Services Head Start Program. We have partnered with Teach for America to ensure that we have qualified teachers in our classrooms.We are committed to achieving positive outcomes for our children and families.</p>,2145 E 83rd St,Chicago,IL,60617,(773) 978-6598,http://adasmckinley.org,None,False,False,None,"Community Based, Head Start",Accepts CCAP,None,licensed,Licensed,41.744159,-87.57159899999999,"{'latitude': '41.744159', 'longitude': '-87.571599'}",9,21202,42,507,37
999,Ada S. McKinley - Bunnyland Day Care,,545 W 119th St,Chicago,IL,60628,(773) 568-5200,,6 weeks to 5 years,True,True,None,Community Based,,NAEYC,licensed,Licensed,41.677688577398115,-87.6366953334437,"{'latitude': '41.677688577398', 'longitude': '-87.636695333444'}",45,21861,50,60,22
205,Ada S. McKinley Community Services - Ersula Howard,"<p>Ersula Howard is located in the South shore community that provides services to children between the ages of three to five years old. We are funded by the City of Chicago Department of Family Support Services Head Start Program and the Chicago Public School Community Partnership's Preschool for All Program. We have partnered with Teach for America to ensure that we have qualified teachers in our classrooms.   We have partnered with other agencies like ABJ Community Services, an agency which provides a variety of services in South shore. We are committed to achieving positive outcomes for our children and families.</p>",7222 S Exchange Ave,Chicago,IL,60649,(773) 221-9711,http://www.adasmckinley.org,3 years to 5 years,False,True,"Full Week, Full Day","Offers Home Visiting, Community Based, Head Start",Accepts CCAP,COA,gold,Gold,41.76383099999999,-87.56460899999996,"{'latitude': '41.763831', 'longitude': '-87.564609'}",43,22538,39,417,37
346,Ada S. McKinley Community Services - Maggie Drummond,"<p>Maggie Drummond offers comprehensive services for the whole family.  We welcome children with all levels of abilities and challenges and all family dynamics.  We strive for a partnership with parents, recognizing that they are their child's first and most important teacher.  Maggie Drummond is a place where everyone can Learn, Play and Grow!</p>",4301 S Wabash Ave,Chicago,IL,60653,(773) 373-8200,http://www.adasmckinley.org,2 years to 5 years,True,True,"Full Week, Full Day","Community Based, Head Start, Early Head Start",Accepts CCAP,COA,gold,Gold,41.81648599999999,-87.62463699999999,"{'latitude': '41.816486', 'longitude': '-87.624637'}",12,4301,4,393,9
204,Ada S. McKinley Community Services - Roseland,<p>Roseland is located in the Roseland community that provides services to children between the ages of three to five years old. We are funded by the City of Chicago Department of Family Support Services Head Start Program. We have partnered with Teach for America to ensure that we have qualified teachers in our classrooms.We are committed to achieving positive outcomes for our children and families.</p>,11400 S Edbrooke Ave,Chicago,IL,60628,(773) 468-1918,http://www.adasmckinley.org,3 years to 5 years,False,True,Full Day,"Community Based, Head Start",Accepts CCAP,COA,gold,Gold,41.68692599999998,-87.61994899999998,"{'latitude': '41.686926', 'longitude': '-87.619949'}",30,21861,45,253,43
203,Ada S. McKinley Community Services - Trumbull Park,"<p>We have uniquely been housed in (CHA) Chicago Housing Authority for over 40 years but we welcome those outside the South Deering Community. Our newly renovated program offers Headstart, Childcare, and Pre-k services to children 3-5 years old.Our hours of operation are from 7:00 am to 6:00 pm We are vey familiy oriented and all staff are degreed. We have been featured on channel 11 for change in CHA and provide quality services to children and families. We offer free meals, sliding fees, field trips, parent education, and other comprehensive services to childen including  those with disabilites.</p>",10534 S Oglesby Ave,Chicago,IL,60617,(773) 978-5341,http://www.adasmckinley.org,3 years to 5 years,False,True,"Full Week, Full Day","Community Based, Head Start",Accepts CCAP,COA,gold,Gold,41.70405399999997,-87.56575699999999,"{'latitude': '41.704054', 'longitude': '-87.565757'}",47,21202,48,174,37
1000,Ada S. McKinley - Dream Child Development,,1836 W 87th St,Chicago,IL,60620,(773) 445-5100,,6 weeks to 5 years,True,True,None,Community Based,,None,licensed,Licensed,41.73588714597643,-87.66937536807622,"{'latitude': '41.735887145976', 'longitude': '-87.669375368076'}",6,21554,70,532,13
1001,Ada S. McKinley - Heaven's Learning Garden,,7801 S Wolcott Ave,Chicago,IL,60620,(773) 994-5437,,6 weeks to 12 years,True,True,None,Community Based,,None,licensed,Licensed,41.752217486252164,-87.67094177814026,"{'latitude': '41.752217486252', 'longitude': '-87.67094177814'}",6,21554,70,573,31
924,Ada S. McKinley - J & L Family Learning Day Care,,11640 S Wentworth Ave,Chicago,IL,60628,(773) 821-1808,,6 weeks to 12 years,True,True,"Full Week, Full Day","Community Based, Head Start",,None,licensed,Licensed,41.68225639999998,-87.62772979999998,"{'latitude': '41.6822564', 'longitude': '-87.6277298'}",45,21861,50,255,22
1002,Ada S. Mckinley - Little Folks Cottage,,5926 W Madison Ave,Chicago,IL,60644,(773) 379-4419,,6 weeks to 5 years,True,True,None,Community Based,,None,licensed,Licensed,41.88033026311993,-87.77302665323461,"{'latitude': '41.88033026312', 'longitude': '-87.773026653235'}",52,22216,26,618,7
202,Ada S. McKinley - Little Genius,"<p>Little Geniusprovides a high-quality, age specific early education and family support program for working parents that fosters children's developmental, intellectual and social growth in an environment that is safe, nurturing, affectionate and fun.</p>",11439 S Michigan Ave,Chicago,IL,60628,(773) 629-8091,http://www.adasmckinley.org,2 years to 8 years,True,True,None,"Community Based, Head Start",Accepts CCAP,None,silver,Silver,41.685923999999986,-87.620478,"{'latitude': '41.685924', 'longitude': '-87.620478'}",30,21861,45,253,43
1003,Ada S. McKinley - Little Genius 2,,1000 W 103rd St,Chicago,IL,60643,(773) 629-8003,,2 years to 12 years,True,True,None,Community Based,,None,licensed,Licensed,41.70702672825399,-87.64787478061625,"{'latitude': '41.707026728254', 'longitude': '-87.647874780616'}",45,22212,72,594,22
926,Ada S. McKinley - Montessori Academy,,11025 S Halsted St,Chicago,IL,60628,(773) 468-0033,,None,,True,"Full Week, Full Day","Community Based, Head Start",,None,licensed,Licensed,41.693366000000005,-87.64202799999994,"{'latitude': '41.693366', 'longitude': '-87.642028'}",45,21861,45,525,22
927,Ada S. McKinley - Montessori Academy 2,,10232 S Halsted St,Chicago,IL,60628,(773) 233-1100,,None,True,True,"Full Week, Full Day","Community Based, Head Start, Early Head Start",Accepts CCAP,None,licensed,Licensed,41.707696999999996,-87.64323100000001,"{'latitude': '41.707697', 'longitude': '-87.643231'}",45,21861,72,594,22
1004,Ada S. McKinley - New Knowledge Learning Center,,8440 S Kedzie Ave,Chicago,IL,60652,(773) 436-8150,,2 years to 6 years,True,True,None,Community Based,,None,licensed,Licensed,41.739477775502,-87.7022431573405,"{'latitude': '41.739477775502', 'longitude': '-87.70224315734'}",6,4300,69,198,30
1005,Ada S. McKinley - Precious Little Ones (47th),,624 E 47th St,Chicago,IL,60653,(773) 268-2685,,6 weeks to 3 years,True,True,None,Community Based,,None,licensed,Licensed,41.80958087377307,-87.61037213417536,"{'latitude': '41.809580873773', 'longitude': '-87.610372134175'}",1,4301,4,165,10
928,Ada S. McKinley - Precious Little Ones (51 St),,221 E 51st St,Chicago,IL,60615,(773) 285-9902,,6 weeks to 5 years,True,True,"Full Week, Full Day","Community Based, Head Start",Accepts CCAP,None,licensed,Licensed,41.801794999999935,-87.62016299999998,"{'latitude': '41.801795', 'longitude': '-87.620163'}",12,21192,7,218,9
931,Ada S. McKinley - Precious Little Ones (63rd St),,22 E 63rd St,Chicago,IL,60637,(773) 891-5055,,6 weeks to 5 years,True,True,"Full Week, Full Day","Community Based, Head Start",Accepts CCAP,None,licensed,Licensed,41.78029989999999,-87.62419899999995,"{'latitude': '41.7802999', 'longitude': '-87.624199'}",53,22260,7,404,4
