vendor_number,vendor_name,submission_date,business_type,business_employees,address,city,state,reporting_year,record_id,zip
54663053,WEX BANK,2021-12-10T00:00:00.000,PROVIDING FLEET FUEL CARD SERVICES,50-200,97 DARLING AVE,SOUTH PORTLAND,ME,2020,54663053_2020,
1071992,"P.W.S. ENVIRONMENTAL, INC.",2021-12-08T00:00:00.000,ENVIRONMENTAL CLEANING AND RESTORATIONS SERVICES,10-50,1615 S 55TH AVENUE EPAY,CICERO,IL,2020,1071992_2020,60804
50938028,US LEGAL SUPPORT INC,2021-09-03T00:00:00.000,LEGAL,500-1000,15250 VENTURA BOULVARD,SHERMAN OAKS,CA,2020,50938028_2020,91403
54715021,KIEWIT INFRASTRUCTURE CO,2021-08-31T00:00:00.000,"CONSTRUCTION,CONSTRUCTION",1000-ABOVE,Two Pierce Place,ITASCA,IL,2020,54715021_2020,60143
821504,STANLEY CONSULTANTS INC,2021-08-27T00:00:00.000,ARCH-ENG-CONST,500-1000,225 IOWA AVENUE EFT,MUSCATINE,IA,2020,821504_2020,52761
54629025,GREENBERG TRAURIG LLP,2021-08-25T00:00:00.000,LEGAL,1000-ABOVE,77 W WACKER DR STE 3100,CHICAGO,IL,2020,54629025_2020,60601
51549021,LOCKE LORD LLP,2021-08-19T00:00:00.000,LEGAL,1000-ABOVE,& ROGER FROSS,CHICAGO,IL,2020,51549021_2020,60606
718551,RELIABLE CONTRACTING & EQUIP.|RELIABLE CONTRACTING & EQUIPMENT COMPANY,2021-08-18T00:00:00.000,CONSTRUCTION,50-200,4100 S EMERALD EFT,CHICAGO,IL,2020,718551_2020,60609
374133,HENEGHAN WRECKING & EXCAVATING CO INC,2021-08-16T00:00:00.000,DEMOLITION,10-50,1321 W CONCORD PL,CHICAGO,IL,2020,374133_2020,60642
1032019,JOHNSON & BELL LIMITED,2021-08-13T00:00:00.000,LEGAL,50-200,33 W MONROE ST STE 2700,CHICAGO,IL,2020,1032019_2020,60603-5404
50076632,LCM ARCHITECTS,2021-08-12T00:00:00.000,"ARCH-ENG-CONST,ACCESSIBILITY CONSULTING",50-200,819 S WABASH AVE,CHICAGO,IL,2020,50076632_2020,60605
1072003,"MICHAEL BEST & FRIEDRICH, LLP",2021-08-11T00:00:00.000,LEGAL,500-1000,180 N STETSON AVE # 2000,CHICAGO,IL,2020,1072003_2020,60601
1056919,TESKA ASSOCIATES,2021-08-11T00:00:00.000,"CONSULTING SERVICES, COMMUNITY PLANNING",10-50,627 GROVE ST,EVANSTON,IL,2020,1056919_2020,60201
1004916,LORIG CONSTRUCTION COMPANY.OVERSIZE),2021-08-06T00:00:00.000,CONSTRUCTION,200-500,250 E TOUHY AVE,DES PLAINES,IL,2020,1004916_2020,60018
