measurement_title,measurement_type,measurement_medium,measurement_time,measurement_value,units,units_abbreviation,measurement_period_type,data_stream_id,resource_id,measurement_id,record_id,latitude,longitude,location,measurement_description
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-05-04T07:00:00.000,61.0,universal coordinated time,UTC,Instantaneous,33264,65153,2518768655999999999,332642518768655999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-05-03T19:00:00.000,61.0,universal coordinated time,UTC,Instantaneous,33264,65153,2518769087999999999,332642518769087999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-03T19:00:00.000,0.3,universal coordinated time,UTC,Instantaneous,33265,65148,2518769087999999999,332652518769087999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-03T13:00:00.000,0.08,universal coordinated time,UTC,Instantaneous,33265,65147,2518769303999999999,332652518769303999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-05-03T07:00:00.000,59.0,universal coordinated time,UTC,Instantaneous,33264,65152,2518769519999999999,332642518769519999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-03T07:00:00.000,0.12,universal coordinated time,UTC,Instantaneous,33265,65146,2518769519999999999,332652518769519999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-03T01:00:00.000,0.57,universal coordinated time,UTC,Instantaneous,33265,65145,2518769735999999999,332652518769735999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-05-02T19:00:00.000,85.0,universal coordinated time,UTC,Instantaneous,33264,65151,2518769951999999999,332642518769951999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-02T19:00:00.000,0.21,universal coordinated time,UTC,Instantaneous,33265,65144,2518769951999999999,332652518769951999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-02T13:00:00.000,0.03,universal coordinated time,UTC,Instantaneous,33265,65143,2518770167999999999,332652518770167999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-05-02T07:00:00.000,41.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518770383999999999,332642518770383999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-02T07:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518770383999999999,332652518770383999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-02T01:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518770599999999999,332652518770599999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-05-01T19:00:00.000,7.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518770815999999999,332642518770815999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-01T19:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65144,2518770815999999999,332652518770815999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-01T13:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65143,2518771031999999999,332652518771031999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-05-01T07:00:00.000,3.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518771247999999999,332642518771247999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-01T07:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518771247999999999,332652518771247999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-05-01T01:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518771463999999999,332652518771463999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-04-30T19:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518771679999999999,332642518771679999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-30T19:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518771679999999999,332652518771679999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-30T13:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518771895999999999,332652518771895999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-04-30T07:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518772111999999999,332642518772111999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-30T07:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772111999999999,332652518772111999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-30T01:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772327999999999,332652518772327999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-04-29T19:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518772543999999999,332642518772543999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-29T19:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772543999999999,332652518772543999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-29T13:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772759999999999,332652518772759999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-04-29T07:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518772975999999999,332642518772975999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-29T07:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518772975999999999,332652518772975999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-29T01:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518773191999999999,332652518773191999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-04-28T19:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518773407999999999,332642518773407999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-28T19:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518773407999999999,332652518773407999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-28T13:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518773623999999999,332652518773623999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-04-28T07:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518773839999999999,332642518773839999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-28T07:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518773839999999999,332652518773839999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-28T01:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518774055999999999,332652518774055999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-04-27T19:00:00.000,66.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518774271999999999,332642518774271999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-27T19:00:00.000,0.06,universal coordinated time,UTC,Instantaneous,33265,65142,2518774271999999999,332652518774271999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-27T13:00:00.000,0.04,universal coordinated time,UTC,Instantaneous,33265,65142,2518774487999999999,332652518774487999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Probability of Precipitation,TimeWindowBoundary,NA,2018-04-27T07:00:00.000,75.0,universal coordinated time,UTC,Instantaneous,33264,65150,2518774703999999999,332642518774703999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-27T07:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518774703999999999,332652518774703999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
UI Labs Bioswale NWS Quantitative Precipitation Forecast,TimeWindowBoundary,NA,2018-04-27T01:00:00.000,0.0,universal coordinated time,UTC,Instantaneous,33265,65142,2518774919999999999,332652518774919999999999,41.90715,-87.653996,"{'type': 'Point', 'coordinates': [-87.653996, 41.90715]}",
