ward_section,ward,section,month_name,month_number,date_text
101,1,1,APRIL,4,"3,4"
101,1,1,MAY,5,"1,2"
101,1,1,JUNE,6,"5,6"
101,1,1,JULY,7,3
101,1,1,AUGUST,8,"1,7"
101,1,1,SEPTEMBER,9,"4,5"
101,1,1,OCTOBER,10,"2,3"
101,1,1,NOVEMBER,11,"6,7"
102,1,2,APRIL,4,"5,6"
102,1,2,MAY,5,"3,4,"
102,1,2,JUNE,6,"1,7"
102,1,2,JULY,7,"5,6"
102,1,2,AUGUST,8,"2,3"
102,1,2,SEPTEMBER,9,"6,7"
102,1,2,OCTOBER,10,"4,5"
102,1,2,NOVEMBER,11,"1,2"
103,1,3,APRIL,4,"10,11"
103,1,3,MAY,5,"8,9"
103,1,3,JUNE,6,"12,13"
103,1,3,JULY,7,"10,11"
103,1,3,AUGUST,8,"8,14"
103,1,3,SEPTEMBER,9,"11,12"
103,1,3,OCTOBER,10,"9,10"
103,1,3,NOVEMBER,11,"13,14"
104,1,4,APRIL,4,"12,13"
104,1,4,MAY,5,"10,11"
104,1,4,JUNE,6,"8,14"
104,1,4,JULY,7,"12,13"
104,1,4,AUGUST,8,"9,10"
104,1,4,SEPTEMBER,9,"13,14"
104,1,4,OCTOBER,10,"11,12"
104,1,4,NOVEMBER,11,"8,9"
105,1,5,APRIL,4,"17,18"
105,1,5,MAY,5,"15,16"
105,1,5,JUNE,6,"19,20"
105,1,5,JULY,7,"17,18"
105,1,5,AUGUST,8,"15,21"
105,1,5,SEPTEMBER,9,"18,19"
105,1,5,OCTOBER,10,"16,17"
106,1,6,APRIL,4,"19,20"
106,1,6,MAY,5,"17,18"
106,1,6,JUNE,6,"15,21"
106,1,6,JULY,7,"19,20"
106,1,6,AUGUST,8,"16,17"
106,1,6,SEPTEMBER,9,"20,21"
106,1,6,OCTOBER,10,"18,19"
106,1,6,NOVEMBER,11,"15,16"
107,1,7,APRIL,4,"24,25"
107,1,7,MAY,5,"22,23"
107,1,7,JUNE,6,"26,27"
107,1,7,JULY,7,"24,25"
107,1,7,AUGUST,8,"22,28"
107,1,7,SEPTEMBER,9,"25,26"
108,1,8,APRIL,4,"26,27"
108,1,8,MAY,5,"24,25"
108,1,8,JUNE,6,"22,28"
108,1,8,JULY,7,"26,27"
108,1,8,AUGUST,8,"23,24"
108,1,8,SEPTEMBER,9,"27,28"
108,1,8,OCTOBER,10,"25,26"
201,2,1,APRIL,4,"2,3"
201,2,1,MAY,5,"8,9"
201,2,1,JUNE,6,"14,15"
201,2,1,JULY,7,"23,24"
201,2,1,AUGUST,8,"28,29"
201,2,1,OCTOBER,10,"4,5"
201,2,1,NOVEMBER,11,"12,13"
202,2,2,APRIL,4,"4,5"
202,2,2,MAY,5,"10,11"
202,2,2,JUNE,6,"18,19"
202,2,2,JULY,7,"25,26"
202,2,2,AUGUST,8,"30,31"
202,2,2,OCTOBER,10,"9,10"
202,2,2,NOVEMBER,11,"14,15"
203,2,3,APRIL,4,"6,9"
203,2,3,MAY,5,"14,15"
203,2,3,JUNE,6,"20,21"
203,2,3,JULY,7,"27,30"
203,2,3,SEPTEMBER,9,"4,5"
203,2,3,OCTOBER,10,"11,12"
204,2,4,APRIL,4,"10,11"
204,2,4,MAY,5,"16,17"
204,2,4,JUNE,6,"22,25"
204,2,4,JULY,7,31
204,2,4,AUGUST,8,1
204,2,4,SEPTEMBER,9,"6,7"
204,2,4,OCTOBER,10,"15,16"
205,2,5,APRIL,4,"12,13"
205,2,5,MAY,5,"18,21"
205,2,5,JUNE,6,"26,27"
205,2,5,AUGUST,8,"2,3"
205,2,5,SEPTEMBER,9,"10,11"
205,2,5,OCTOBER,10,"17,18"
206,2,6,APRIL,4,"16,17"
206,2,6,MAY,5,"22,23"
206,2,6,JUNE,6,"28,29"
206,2,6,AUGUST,8,"6,7"
206,2,6,SEPTEMBER,9,"12,13"
206,2,6,OCTOBER,10,"19,22"
207,2,7,APRIL,4,"18,19"
207,2,7,MAY,5,"24,25"
207,2,7,JULY,7,"2,3"
207,2,7,AUGUST,8,"8,9"
207,2,7,SEPTEMBER,9,"14,17"
207,2,7,OCTOBER,10,"23,24"
208,2,8,APRIL,4,"20,23"
208,2,8,MAY,5,"29,30"
208,2,8,JULY,7,"5,6"
208,2,8,AUGUST,8,"10,13"
208,2,8,SEPTEMBER,9,"18,19"
208,2,8,OCTOBER,10,"25,26"
209,2,9,APRIL,4,"24,25"
209,2,9,MAY,5,31
209,2,9,JUNE,6,1
209,2,9,JULY,7,"9,10"
209,2,9,AUGUST,8,"14,15"
209,2,9,SEPTEMBER,9,"20,21"
209,2,9,OCTOBER,10,"29,30"
210,2,10,APRIL,4,"26,27"
210,2,10,JUNE,6,"4,5"
210,2,10,JULY,7,"11,12"
210,2,10,AUGUST,8,"16,17"
210,2,10,SEPTEMBER,9,"24,25"
210,2,10,OCTOBER,10,31
210,2,10,NOVEMBER,11,1
211,2,11,APRIL,4,30
211,2,11,MAY,5,1
211,2,11,JUNE,6,"6,7"
211,2,11,JULY,7,"13,16"
211,2,11,AUGUST,8,"20,21"
211,2,11,SEPTEMBER,9,"26,27"
211,2,11,NOVEMBER,11,"2,5"
212,2,12,MAY,5,"2,3"
212,2,12,JUNE,6,"8,11"
212,2,12,JULY,7,"17,18"
212,2,12,AUGUST,8,"22,23"
212,2,12,SEPTEMBER,9,28
212,2,12,OCTOBER,10,1
212,2,12,NOVEMBER,11,"6,7"
213,2,13,MAY,5,"4,7"
213,2,13,JUNE,6,"12,13"
213,2,13,JULY,7,"19,20"
213,2,13,AUGUST,8,"24,27"
213,2,13,OCTOBER,10,"2,3"
213,2,13,NOVEMBER,11,"8,9"
301,3,1,APRIL,4,"2,3"
301,3,1,MAY,5,"22,23"
301,3,1,JULY,7,"13,16"
301,3,1,SEPTEMBER,9,"4,5"
301,3,1,OCTOBER,10,"25,26"
302,3,2,APRIL,4,"4,5"
302,3,2,MAY,5,"24,25"
302,3,2,JULY,7,"17,18"
302,3,2,SEPTEMBER,9,"6,7"
302,3,2,OCTOBER,10,"29,30"
303,3,3,APRIL,4,"6,9"
303,3,3,MAY,5,"29,30"
303,3,3,JULY,7,"19,20"
303,3,3,SEPTEMBER,9,"10,11"
303,3,3,OCTOBER,10,31
303,3,3,NOVEMBER,11,1
304,3,4,APRIL,4,"10,11"
304,3,4,MAY,5,31
304,3,4,JUNE,6,1
304,3,4,JULY,7,"23,24"
304,3,4,SEPTEMBER,9,"12,13"
304,3,4,NOVEMBER,11,"2,5"
305,3,5,APRIL,4,"12,13"
305,3,5,JUNE,6,"4,5"
305,3,5,JULY,7,"25,26"
305,3,5,SEPTEMBER,9,"14,17"
305,3,5,NOVEMBER,11,"6,7"
306,3,6,APRIL,4,"16,17"
306,3,6,JUNE,6,"6,7"
306,3,6,JULY,7,"29,30"
306,3,6,SEPTEMBER,9,"18,19"
306,3,6,NOVEMBER,11,"8,9"
307,3,7,APRIL,4,"18,19"
307,3,7,JUNE,6,"8,11"
