ward_section_concatenated,ward,section,month_name,month_number,dates
0101,1,1,APRIL,4,"3,4"
0101,1,1,MAY,5,"1,2"
0101,1,1,JUNE,6,"5,6"
0101,1,1,JULY,7,3
0101,1,1,AUGUST,8,"1,7"
0101,1,1,SEPTEMBER,9,"4,5"
0101,1,1,OCTOBER,10,"2,3"
0101,1,1,NOVEMBER,11,"6,7"
0102,1,2,APRIL,4,"5,6"
0102,1,2,MAY,5,"3,4"
0102,1,2,JUNE,6,"1,7"
0102,1,2,JULY,7,"5,6"
0102,1,2,AUGUST,8,"2,3"
0102,1,2,SEPTEMBER,9,"6,7"
0102,1,2,OCTOBER,10,"4,5"
0102,1,2,NOVEMBER,11,"1,2"
0103,1,3,APRIL,4,"10,11"
0103,1,3,MAY,5,"8,9"
0103,1,3,JUNE,6,"12,13"
0103,1,3,JULY,7,"10,11"
0103,1,3,AUGUST,8,"8,14"
0103,1,3,SEPTEMBER,9,"11,12"
0103,1,3,OCTOBER,10,"8,9"
0103,1,3,NOVEMBER,11,"13,14"
0104,1,4,APRIL,4,"12,13"
0104,1,4,MAY,5,"10,11"
0104,1,4,JUNE,6,"8,9"
0104,1,4,JULY,7,"12,13"
0104,1,4,AUGUST,8,"9,10"
0104,1,4,SEPTEMBER,9,"13,14"
0104,1,4,OCTOBER,10,"11,12"
0104,1,4,NOVEMBER,11,"8,9"
0105,1,5,APRIL,4,"17,18"
0105,1,5,MAY,5,"15,16"
0105,1,5,JUNE,6,"19,20"
0105,1,5,JULY,7,"17,18"
0105,1,5,AUGUST,8,"15,21"
0105,1,5,SEPTEMBER,9,"18,19"
0105,1,5,OCTOBER,10,"16,17"
0106,1,6,APRIL,4,"19,20"
0106,1,6,MAY,5,"17,18"
0106,1,6,JUNE,6,"15,21"
0106,1,6,JULY,7,"19,20"
0106,1,6,AUGUST,8,"16,17"
0106,1,6,SEPTEMBER,9,"20,21"
0106,1,6,OCTOBER,10,"18,19"
0106,1,6,NOVEMBER,11,"15,16"
0107,1,7,APRIL,4,"24,25"
0107,1,7,MAY,5,"22,23"
0107,1,7,JUNE,6,"26,27"
0107,1,7,JULY,7,"24,25"
0107,1,7,AUGUST,8,"22,28"
0107,1,7,SEPTEMBER,9,"25,26"
0107,1,7,OCTOBER,10,"23,24"
0108,1,8,APRIL,4,"26,27"
0108,1,8,MAY,5,"24,25"
0108,1,8,JUNE,6,"22,28"
0108,1,8,JULY,7,"26,27"
